ThermoPrep / 1 ,82612.66667,84213.66667,81900.66667
ThermoPrep / 2 ,119972.6667,119809.6667,118881.6667
ThermoPrep / 3 ,122778.6667,129926.6667,124549.6667
ThermoPrep / 4 ,109345.6667,113395.6667,110508.6667
ThermoPrep / 5 ,102900.6667,105151.6667,108026.6667
ThermoPrep / 6 ,96706.66667,93601.66667,98121.66667
ThermoPrep / 7 ,85315.66667,86650.66667,88269.66667
ThermoPrep / 8 ,78402.66667,80155.66667,78372.66667
ThermoPrep / 9 ,69331.66667,71405.66667,77635.66667
ThermoPrep / 10 ,61613.66667,68177.66667,63543.66667
ThermoPrep / 11 ,59280.66667,60583.66667,63636.66667
ThermoPrep / 12 ,56632.66667,52763.66667,56822.66667
